nprocs, p, data_volume, runtime
64, 0.10, 1, 0.0814116955
64, 0.20, 1, 0.1302098036
64, 0.30, 1, 0.1281323910
64, 0.40, 1, 0.1494356155
64, 0.50, 1, 0.1863849163
64, 0.60, 1, 0.2178356886
64, 0.70, 1, 0.2821578026
64, 0.80, 1, 0.2877305031
64, 0.90, 1, 0.3246754169
64, 0.10, 2, 0.0850835085
64, 0.20, 2, 0.1664968967
64, 0.30, 2, 0.2306512833
64, 0.40, 2, 0.3025078058
64, 0.50, 2, 0.3766700983
64, 0.60, 2, 0.4525239944
64, 0.70, 2, 0.5636815071
64, 0.80, 2, 0.5773825884
64, 0.90, 2, 0.6491070986
128, 0.10, 1, 0.0699185133
128, 0.20, 1, 0.0889687061
128, 0.30, 1, 0.1007604837
128, 0.40, 1, 0.1043577194
128, 0.50, 1, 0.1112512827
128, 0.60, 1, 0.1188569069
128, 0.70, 1, 0.1571501970
128, 0.80, 1, 0.1507988930
128, 0.90, 1, 0.1746581793
128, 0.10, 2, 0.1391892195
128, 0.20, 2, 0.1553040028
128, 0.30, 2, 0.1866096020
128, 0.40, 2, 0.1919026136
128, 0.50, 2, 0.2097012043
128, 0.60, 2, 0.2330193996
128, 0.70, 2, 0.2700412989
128, 0.80, 2, 0.3214532137
128, 0.90, 2, 0.3437917948
256, 0.10, 1, 0.0834655046
256, 0.20, 1, 0.0882902861
256, 0.30, 1, 0.0991541862
256, 0.40, 1, 0.0986750841
256, 0.50, 1, 0.1058572054
256, 0.60, 1, 0.1110713005
256, 0.70, 1, 0.1174811125
256, 0.80, 1, 0.1203541040
256, 0.90, 1, 0.1425961018
256, 0.10, 2, 0.1661272049
256, 0.20, 2, 0.1701452971
256, 0.30, 2, 0.1930400133
256, 0.40, 2, 0.2054236889
256, 0.50, 2, 0.2084275007
256, 0.60, 2, 0.2343641996
256, 0.70, 2, 0.2268242121
256, 0.80, 2, 0.2444340944
256, 0.90, 2, 0.2458488941
512, 0.10, 1, 0.0999948025
512, 0.20, 1, 0.0964434862
512, 0.30, 1, 0.1162026167
512, 0.40, 1, 0.1058326960
512, 0.50, 1, 0.1045593977
512, 0.60, 1, 0.1106549025
512, 0.70, 1, 0.1232328176
512, 0.80, 1, 0.1129333973
512, 0.90, 1, 0.1353910923
512, 0.10, 2, 0.2220329046
512, 0.20, 2, 0.2060799837
512, 0.30, 2, 0.2240741014
512, 0.40, 2, 0.1968992949
512, 0.50, 2, 0.2139324903
512, 0.60, 2, 0.2214025974
